Timeframe,Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Gross PnL %,Net PnL %,Status,Exit Reason,Regime,Regime Reason,Triggered Rules
1d,ADAUSDT,Bullish,2020-06-01T00:00:00+00:00,2024-04-02T00:00:00+00:00,0.07385,0.5809,686.59,686.47,break_even,force_close,BULL_TREND,EMA(9) > EMA(21) and ADX 26.42 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20, volume_confirmation:0.20"
1d,BTCUSDT,Bullish,2020-06-02T00:00:00+00:00,2020-06-03T00:00:00+00:00,10232.48,9452.151473775082,-7.63,-7.75,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 20.14 >= 20.00,"ema_trend:0.25, rsi_momentum:0.14"
1d,BTCUSDT,Bullish,2020-06-04T00:00:00+00:00,2020-06-27T00:00:00+00:00,9663.59,8857.976398306066,-8.34,-8.46,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 21.67 >= 20.00,"ema_trend:0.25, rsi_momentum:0.05"
1d,BTCUSDT,Bearish,2020-07-01T00:00:00+00:00,2020-07-23T00:00:00+00:00,9138.87,9629.782808949214,-5.37,-5.49,loss,stop_loss,BEAR_TREND,EMA(9) < EMA(21) and ADX 22.16 >= 20.00,"ema_trend:0.06, rsi_momentum:-0.04"
1d,BTCUSDT,Bullish,2020-07-27T00:00:00+00:00,2020-07-28T00:00:00+00:00,9939.69,10479.342444965363,5.43,5.39,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 22.31 >= 20.00,"ema_trend:0.06, rsi_momentum:0.20"
1d,BTCUSDT,Bullish,2020-07-29T00:00:00+00:00,2020-08-01T00:00:00+00:00,10919.94,11728.860513771155,7.41,7.37,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 29.68 >= 20.00,"ema_trend:0.14, rsi_momentum:0.20, volume_confirmation:0.20"
1d,ETHUSDT,Bullish,2020-06-02T00:00:00+00:00,2020-06-11T00:00:00+00:00,248.9,228.31748794797488,-8.27,-8.39,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 20.70 >= 20.00,"ema_trend:0.25, rsi_momentum:0.18"
1d,ETHUSDT,Bullish,2020-06-12T00:00:00+00:00,2020-07-22T00:00:00+00:00,230.48,261.416024381155,13.42,13.38,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 20.71 >= 20.00,"ema_trend:0.25, rsi_momentum:0.01"
1d,ETHUSDT,Bullish,2020-07-24T00:00:00+00:00,2020-07-25T00:00:00+00:00,275.56,298.82151578122534,8.44,8.40,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 22.21 >= 20.00,"ema_trend:0.18, rsi_momentum:0.20, volume_confirmation:0.17"
1d,ETHUSDT,Bullish,2020-07-26T00:00:00+00:00,2020-07-27T00:00:00+00:00,305.64,333.4373528929953,9.09,9.05,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 28.92 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20, volume_confirmation:0.20"
1d,ETHUSDT,Bullish,2020-07-28T00:00:00+00:00,2020-08-01T00:00:00+00:00,322.33,353.55931193324597,9.69,9.65,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 35.94 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20, volume_confirmation:0.20"
1d,BNBUSDT,Bearish,2020-06-18T00:00:00+00:00,2020-07-09T00:00:00+00:00,16.39,17.525554803647022,-6.93,-7.05,loss,stop_loss,BEAR_TREND,EMA(9) < EMA(21) and ADX 24.42 >= 20.00,"ema_trend:0.06, rsi_momentum:-0.05"
1d,BNBUSDT,Bullish,2020-07-10T00:00:00+00:00,2020-07-12T00:00:00+00:00,16.844,18.367769979275433,9.05,9.01,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 34.46 >= 20.00,"ema_trend:-0.03, rsi_momentum:0.07, volume_confirmation:0.20"
1d,BNBUSDT,Bullish,2020-07-13T00:00:00+00:00,2020-07-16T00:00:00+00:00,18.312,17.239268368690933,-5.86,-5.98,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 32.34 >= 20.00,"ema_trend:0.05, rsi_momentum:0.19, volume_confirmation:0.20"
1d,BNBUSDT,Bullish,2020-07-19T00:00:00+00:00,2020-07-24T00:00:00+00:00,17.156,18.912963656277217,10.24,10.20,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 27.42 >= 20.00,"ema_trend:0.10, rsi_momentum:0.02"
1d,BNBUSDT,Bullish,2020-07-25T00:00:00+00:00,2020-08-01T00:00:00+00:00,19.204,21.094853631656957,9.85,9.81,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 27.63 >= 20.00,"ema_trend:0.17, rsi_momentum:0.18"
1d,XRPUSDT,Bullish,2020-06-03T00:00:00+00:00,2020-06-15T00:00:00+00:00,0.203,0.182030353904722,-10.33,-10.45,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 24.72 >= 20.00,"ema_trend:0.03, rsi_momentum:0.00, volume_confirmation:0.13"
1d,XRPUSDT,Bearish,2020-06-17T00:00:00+00:00,2020-06-27T00:00:00+00:00,0.1923,0.17091591536493617,11.12,11.08,win,take_profit,BEAR_TREND,EMA(9) < EMA(21) and ADX 46.38 >= 20.00,"ema_trend:-0.04, rsi_momentum:-0.06"
1d,XRPUSDT,Bearish,2020-06-28T00:00:00+00:00,2020-07-06T00:00:00+00:00,0.175,0.18737360611720622,-7.07,-7.19,loss,stop_loss,BEAR_TREND,EMA(9) < EMA(21) and ADX 50.66 >= 20.00,"ema_trend:-0.14, rsi_momentum:-0.19, volume_confirmation:0.12"
1d,XRPUSDT,Bearish,2020-07-07T00:00:00+00:00,2020-07-08T00:00:00+00:00,0.1887,0.1994521270833696,-5.70,-5.82,loss,stop_loss,BEAR_TREND,EMA(9) < EMA(21) and ADX 51.04 >= 20.00,"ema_trend:-0.18, rsi_momentum:0.04"
1d,XRPUSDT,Bullish,2020-07-10T00:00:00+00:00,2020-07-16T00:00:00+00:00,0.2029,0.18962287784177734,-6.54,-6.66,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 45.22 >= 20.00,"ema_trend:-0.09, rsi_momentum:0.14, volume_confirmation:0.20"
1d,XRPUSDT,Bullish,2020-07-19T00:00:00+00:00,2020-07-26T00:00:00+00:00,0.2001,0.21926690254359693,9.58,9.54,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 28.27 >= 20.00,rsi_momentum:0.08
1d,XRPUSDT,Bullish,2020-07-27T00:00:00+00:00,2020-07-29T00:00:00+00:00,0.2156,0.2359262004153086,9.43,9.39,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 22.69 >= 20.00,"ema_trend:0.11, rsi_momentum:0.17"
1d,XRPUSDT,Bullish,2020-07-30T00:00:00+00:00,2020-08-01T00:00:00+00:00,0.2436,0.22665223826228548,-6.96,-7.08,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 25.55 >= 20.00,"ema_trend:0.22, rsi_momentum:0.20, volume_confirmation:0.20"
1d,ADAUSDT,Bullish,2020-06-05T00:00:00+00:00,2020-06-11T00:00:00+00:00,0.08878,0.07872140493954671,-11.33,-11.45,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 35.04 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20, volume_confirmation:0.16"
1d,ADAUSDT,Bullish,2020-06-13T00:00:00+00:00,2020-06-15T00:00:00+00:00,0.07949,0.07021516172149295,-11.67,-11.79,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 35.34 >= 20.00,"ema_trend:0.25, rsi_momentum:0.09"
1d,ADAUSDT,Bullish,2020-06-16T00:00:00+00:00,2020-07-01T00:00:00+00:00,0.07823,0.09191068587712098,17.49,17.45,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 30.15 >= 20.00,"ema_trend:0.25, rsi_momentum:0.06"
1d,ADAUSDT,Bullish,2020-07-05T00:00:00+00:00,2020-07-07T00:00:00+00:00,0.10005,0.11397419604612728,13.92,13.88,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 20.69 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20, volume_confirmation:0.20"
1d,ADAUSDT,Bullish,2020-07-08T00:00:00+00:00,2020-07-13T00:00:00+00:00,0.11741,0.13351897001215074,13.72,13.68,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 26.29 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20"
1d,ADAUSDT,Bullish,2020-07-14T00:00:00+00:00,2020-07-25T00:00:00+00:00,0.12407,0.14577810090427606,17.50,17.46,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 38.88 >= 20.00,"ema_trend:0.25, rsi_momentum:0.19"
1d,ADAUSDT,Bullish,2020-07-26T00:00:00+00:00,2020-07-27T00:00:00+00:00,0.14361,0.12975412785374996,-9.65,-9.77,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 32.73 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20"
1d,ADAUSDT,Bullish,2020-07-28T00:00:00+00:00,2024-04-02T00:00:00+00:00,0.13873,0.5809,318.73,318.61,break_even,force_close,BULL_TREND,EMA(9) > EMA(21) and ADX 33.41 >= 20.00,"ema_trend:0.25, rsi_momentum:0.13, volume_confirmation:0.16"
1d,BTCUSDT,Bullish,2020-08-02T00:00:00+00:00,2020-08-03T00:00:00+00:00,11811.42,11210.581115094094,-5.09,-5.21,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 42.11 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20, volume_confirmation:0.10"
1d,BTCUSDT,Bullish,2020-08-04T00:00:00+00:00,2020-08-17T00:00:00+00:00,11227.07,12342.53923379412,9.94,9.90,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 41.85 >= 20.00,"ema_trend:0.25, rsi_momentum:0.17, volume_confirmation:-0.20"
1d,BTCUSDT,Bullish,2020-08-18T00:00:00+00:00,2020-08-19T00:00:00+00:00,12298.06,11576.351954107373,-5.87,-5.99,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 40.55 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.20"
1d,BTCUSDT,Bullish,2020-08-20T00:00:00+00:00,2020-09-03T00:00:00+00:00,11763.87,11033.054542061971,-6.21,-6.33,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 41.23 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.08"
1d,ETHUSDT,Bullish,2020-08-02T00:00:00+00:00,2020-08-13T00:00:00+00:00,387.24,428.46628920079934,10.65,10.61,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 48.75 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20"
1d,ETHUSDT,Bullish,2020-08-14T00:00:00+00:00,2020-08-21T00:00:00+00:00,425.34,385.17145922031204,-9.44,-9.56,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 33.69 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20"
1d,ETHUSDT,Bullish,2020-08-22T00:00:00+00:00,2020-09-01T00:00:00+00:00,388.25,447.3731152654951,15.23,15.19,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 26.67 >= 20.00,"ema_trend:0.25, rsi_momentum:0.02"
1d,ETHUSDT,Bullish,2020-09-02T00:00:00+00:00,2020-09-03T00:00:00+00:00,475.61,435.44772091341383,-8.44,-8.56,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 20.03 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20"
1d,BNBUSDT,Bullish,2020-08-02T00:00:00+00:00,2020-08-15T00:00:00+00:00,21.646,23.768762003131936,9.81,9.77,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 33.39 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20"
1d,XRPUSDT,Bullish,2020-08-02T00:00:00+00:00,2020-08-27T00:00:00+00:00,0.2912,0.26502460548915496,-8.99,-9.11,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 32.39 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20"
1d,XRPUSDT,Bullish,2020-09-02T00:00:00+00:00,2020-09-03T00:00:00+00:00,0.2955,0.26929140106915206,-8.87,-8.99,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 21.04 >= 20.00,"ema_trend:0.25, rsi_momentum:0.08"
1d,XRPUSDT,Bearish,2020-09-11T00:00:00+00:00,2024-04-02T00:00:00+00:00,0.243,0.5858,-141.07,-141.19,break_even,force_close,BEAR_TREND,EMA(9) < EMA(21) and ADX 23.57 >= 20.00,rsi_momentum:-0.09
1d,ADAUSDT,Bullish,2020-08-02T00:00:00+00:00,2020-08-12T00:00:00+00:00,0.14428,0.12885399178971607,-10.69,-10.81,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 31.44 >= 20.00,"ema_trend:0.25, rsi_momentum:0.12"
1d,ADAUSDT,Bearish,2020-09-30T00:00:00+00:00,2024-04-02T00:00:00+00:00,0.10109,0.5809,-474.64,-474.76,break_even,force_close,BEAR_TREND,EMA(9) < EMA(21) and ADX 29.49 >= 20.00,"ema_trend:-0.25, rsi_momentum:0.03, volume_confirmation:-0.13"
1d,BTCUSDT,Bullish,2020-10-15T00:00:00+00:00,2020-10-21T00:00:00+00:00,11417.13,12140.68155645741,6.34,6.30,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 21.32 >= 20.00,"ema_trend:0.06, higher_tf_trend:0.30, rsi_momentum:0.13"
1d,BTCUSDT,Bullish,2020-10-22T00:00:00+00:00,2020-10-27T00:00:00+00:00,12796.07,13687.097470807576,6.96,6.92,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 34.06 >= 20.00,"ema_trend:0.14, higher_tf_trend:0.30, rsi_momentum:0.20, volume_confirmation:0.15"
1d,BTCUSDT,Bullish,2020-10-28T00:00:00+00:00,2020-10-29T00:00:00+00:00,13629.38,12967.79051597657,-4.85,-4.97,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 50.16 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.20"
1d,BTCUSDT,Bullish,2020-10-30T00:00:00+00:00,2020-11-05T00:00:00+00:00,13446.65,14557.658235713974,8.26,8.22,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 53.16 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.20, volume_confirmation:-0.18"
1d,BTCUSDT,Bullish,2020-11-06T00:00:00+00:00,2020-11-07T00:00:00+00:00,15598.75,14657.13662197732,-6.04,-6.16,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 58.20 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.20"
1d,BTCUSDT,Bullish,2020-11-08T00:00:00+00:00,2020-11-13T00:00:00+00:00,14824.34,16391.511384330355,10.57,10.53,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 58.22 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.19, volume_confirmation:-0.12"
